Controller,RefAmplitude_deg,RiseTime,SettlingTime,Overshoot
PID,50,0.1242,0.6781,37.0503597122302
PID,120,0.172975,0.64065,57.1214392803598
PID + AW,50,0.1688,0.2121,4.67625899280573
PID + AW,120,0.2324,0.3077,0.150150150150163
