A_r,rms_err,max_err,ss_rms,settling_time
30,48.1745158879588,80.7578798730079,48.1995142628724,NaN
60,96.2092317634312,159.498196579276,96.4371549939622,NaN
90,144.054990534193,239.909778326658,144.219508302565,NaN
