Ts,RiseTime,SettlingTime,Overshoot
0.001,0.0993243877858268,0.753147563309125,32.7519291379614
0.01,0.103982183821214,NaN,45.4480980249899
0.05,0.0247059997299256,NaN,99.1932063367766
