Controller,RefAmplitude_deg,RiseTime,SettlingTime,Overshoot
PID,10,0.0402,0.05705,1.69491525423731
PID,30,0.0320333333333333,0.1176,22.0238095238095
PID,50,0.0306685714285714,0.118175,27.8388278388278
PID,90,0.0382545454545455,0.125733333333333,23.5887096774193
PID,180,0.0615675213675214,0.1514625,14.456630109671
PID,360,0.108610227272727,0.203525,7.73042616451931
PID + AW,10,0.0402,0.05705,1.69491525423731
PID + AW,30,0.0320333333333333,0.1176,22.0238095238095
PID + AW,50,0.0306685714285714,0.118175,27.8388278388278
PID + AW,90,0.0381933333333333,0.12565,23.6842105263158
PID + AW,180,0.0608683760683761,0.14955,14.2857142857143
PID + AW,360,0.1059375,0.191333333333333,6.47959183673465
