RefAmplitude_deg,RiseTime_s,SettlingTime_s,Overshoot_pct
40,0.0324933333333333,0.2219,21.1711711711712
70,0.0345291666666667,0.22655,26.9922879177378
120,0.0441142857142857,0.2477,36.7867867867867
