Mode,Acc_MaxPeak_rad,Acc_RMS_rad,Acc_P2P_rad,BB_MaxPeak_rad,BB_RMS_rad,BB_P2P_rad
No FF (step),5.12845,9.0841,0,5.17728,9.11116,0
With FF (square wave),0.845088423826617,0.686682727863455,2.1436029153331,0.851371609122564,0.684296923851936,2.20170667146084
