Mode,Acc_MaxPeak_rad,Acc_RMS_rad,Acc_P2P_rad,BB_MaxPeak_rad,BB_RMS_rad,BB_P2P_rad,Acc_MaxPeak_deg,Acc_RMS_deg,Acc_P2P_deg,BB_MaxPeak_deg,BB_RMS_deg,BB_P2P_deg
No FF,0,0,0,0,0,0,43.3916777313814,24.7501518859692,48.6005640147296,43.4230936579173,24.7655042762348,48.619287906945
With FF,0,0,0,0,0,0,43.3916777313814,24.7501518859692,48.6005640147296,43.4230936579173,24.7655042762348,48.619287906945
