Controller,RefAmplitude_deg,RiseTime,SettlingTime,Overshoot
q11 = 0.01,50,0.3228,1.4567,0.349650349650332
q11 = 0.1,50,0.3041,1.5977,5.94405594405596
q11 = 1,50,0.2344,2.6351,20.1438848920863
q11 = 10,50,0.1713,1.91015,35.3790613718411
q11 = 100,50,0.1473,1.68915,44.043321299639
